model,parameter_count,steps,sequence_tokens_seen,estimated_training_flops,validation_loss_mean,validation_loss_std,greedy_exact_match_mean,greedy_exact_match_std
dense_0p16m,162176,50,1536000,1494614016000,1.905039119720459,0.013738121601940953,0.00065,0.00017320508075688776
dense_0p16m,162176,75,2304000,2241921024000,1.8098227262496949,0.008325714760851715,0.0008833333333333333,0.00046457866215887845
dense_0p16m,162176,100,3072000,2989228032000,1.762404767672221,0.007067575082085812,0.0013499999999999999,0.00015000000000000007
dense_0p16m,162176,125,3840000,3736535040000,1.7281242211659749,0.014642317975737354,0.0014,0.0002598076211353315
dense_0p16m,162176,175,5376000,5231149056000,1.4440988540649415,0.06238893931357422,0.0176,0.005546845950628159
dense_0p16m,162176,250,7680000,7473070080000,1.0920036395390829,0.04887654310364571,0.055516666666666666,0.011214313770058932
dense_0p16m,162176,400,12288000,11956912128000,0.34984858334064484,0.10014093313592341,0.8840666666666667,0.09365918712722915
dense_0p64m,643840,175,5376000,20767703040000,0.3118373095989227,0.04454195353025471,0.8112,0.06495473423854493
dense_0p16m,162176,750,23040000,22419210240000,0.0261903228238225,0.020608513777358735,0.9999666666666668,5.7735026918956215e-05
dense_0p64m,643840,400,12288000,47469035520000,0.013542618105808894,0.002814718886116228,0.9997666666666666,0.0003175426480543233
dense_0p64m,643840,750,23040000,89004441600000,0.000759394975223889,7.387894786063628e-05,1.0,0.0
dense_2p16m,2164608,750,23040000,299235409920000,0.00038079516380093995,0.00010366489330821839,1.0,0.0
dense_5p12m,5123584,750,23040000,708284252160000,0.00029482856722703825,6.357423670101095e-05,1.0,0.0
dense_10m,10000000,750,23040000,1382400000000000,0.00016624649191120016,8.95207345710139e-06,1.0,0.0
