model,parameter_count,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,seed_count,seeds,validation_loss_mean,validation_loss_std,validation_loss_min,validation_loss_max,greedy_exact_match_mean,greedy_exact_match_std,greedy_exact_match_min,greedy_exact_match_max,final_train_loss_mean,final_train_loss_std,final_train_loss_min,final_train_loss_max,final_answer_token_accuracy_mean,final_answer_token_accuracy_std,final_answer_token_accuracy_min,final_answer_token_accuracy_max,compilation_seconds_mean,compilation_seconds_std,compilation_seconds_min,compilation_seconds_max,steady_state_training_seconds_mean,steady_state_training_seconds_std,steady_state_training_seconds_min,steady_state_training_seconds_max,total_training_seconds_mean,total_training_seconds_std,total_training_seconds_min,total_training_seconds_max
dense_0p16m,162176,50,102400,1536000,409600,0.512,1494614016000,3,"42,123,2026",1.905039119720459,0.013738121601940953,1.889196252822876,1.9136595964431762,0.00065,0.00017320508075688776,0.00045,0.00075,1.8248484929402669,0.011924445742980825,1.8114590644836426,1.8343243598937988,0.3695475260416667,0.008427567935271078,0.3643798828125,0.3792724609375,5.423534634666642,0.1230850455924131,5.31793049099997,5.558712382999829,1.306439553666981,0.09586035366186327,1.2423725370001648,1.4166444790000696,16.991455469000055,0.41251519441345885,16.536315981000143,17.340700274000028
dense_0p16m,162176,75,153600,2304000,614400,0.768,2241921024000,3,"42,123,2026",1.8098227262496949,0.008325714760851715,1.8027226209640503,1.8189860582351685,0.0008833333333333333,0.00046457866215887845,0.0005,0.0014,1.6803487141927083,0.01971202703141676,1.6658676862716675,1.7027974128723145,0.3955891927083333,0.0085539270814944,0.386474609375,0.4034423828125,6.4186338976666475,0.6786893412588173,5.662120523000112,6.974048304000007,1.839783454999785,0.02181618688160883,1.815862437000078,1.8585838969997894,18.3984895553333,0.3967990842988692,17.948305810999955,18.697408662000043
dense_0p16m,162176,100,204800,3072000,819200,1.024,2989228032000,3,"42,123,2026",1.762404767672221,0.007067575082085812,1.7549455881118774,1.7690016031265259,0.0013499999999999999,0.00015000000000000007,0.0012,0.0015,1.6018060843149822,0.016440184640649034,1.590635895729065,1.620684027671814,0.4141845703125,0.005747684261227321,0.40771484375,0.418701171875,6.261607448333355,0.6474299129758139,5.522321138000052,6.727465496999912,2.5304577619991355,0.19984032906405108,2.398787625999603,2.7604067799995846,19.11759700866666,0.40249369980873817,18.66022120799994,19.417746164999926
dense_0p16m,162176,125,256000,3840000,1024000,1.28,3736535040000,3,"42,123,2026",1.7281242211659749,0.014642317975737354,1.7174578666687013,1.7448182582855225,0.0014,0.0002598076211353315,0.00125,0.0017,1.5552068551381428,0.02425401077358951,1.5407530069351196,1.5832080841064453,0.420654296875,0.0030663712614942555,0.4188232421875,0.4241943359375,5.620248943333384,0.46696232322423065,5.3046857340000315,6.156671151999944,3.1794824196651157,0.09083524187121911,3.1188067300001876,3.2839140339965525,19.760548879666658,0.36609314244912367,19.516739012000016,20.181521949999933
dense_0p16m,162176,175,358400,5376000,1433600,1.792,5231149056000,3,"42,123,2026",1.4440988540649415,0.06238893931357422,1.3771292924880982,1.5005768537521362,0.0176,0.005546845950628159,0.01345,0.0239,1.3143177429835002,0.046255653942227984,1.274084210395813,1.3648570775985718,0.5277506510416666,0.03213240615039965,0.49755859375,0.5615234375,5.464739674333335,0.06052016658692825,5.4158465230000274,5.532427265000024,4.35732566633457,0.12215882367811147,4.22206203600058,4.459607026001777,21.445991489333284,0.05559718142790671,21.409183184999847,21.50994680100007
dense_0p16m,162176,250,512000,7680000,2048000,2.56,7473070080000,3,"42,123,2026",1.0920036395390829,0.04887654310364571,1.0416623830795289,1.139270305633545,0.055516666666666666,0.011214313770058932,0.0429,0.06435,1.0140235821406047,0.030525687191891072,0.9802367687225342,1.0396150350570679,0.6690266927083334,0.012552682801595697,0.6607666015625,0.6834716796875,5.546795243000058,0.12348165116054818,5.459750420000091,5.688119072000063,6.108332298333759,0.073097354115607,6.033640901999661,6.179723843001511,24.316330098666715,0.22569874775376475,24.058573410000008,24.478540737000003
dense_0p16m,162176,400,819200,12288000,3276800,4.096,11956912128000,3,"42,123,2026",0.34984858334064484,0.10014093313592341,0.2367335468530655,0.4271894574165344,0.8840666666666667,0.09365918712722915,0.8024,0.9863,0.3118364413579305,0.08525723432781573,0.2161196768283844,0.37963277101516724,0.974609375,0.020421892652088058,0.955810546875,0.996337890625,5.518308686333285,0.15847276946865627,5.398344769999994,5.697957317999908,9.497041321667439,0.09613363298369555,9.402582562001498,9.594766566998715,30.30944683100006,0.2830485038046599,29.984100865999835,30.49911903200018
dense_0p16m,162176,750,1536000,23040000,6144000,7.68,22419210240000,3,"42,123,2026",0.0261903228238225,0.020608513777358735,0.012133126147091389,0.04984742850065231,0.9999666666666668,5.7735026918956215e-05,0.9999,1.0,0.023207571047047775,0.017819355341335608,0.01104377768933773,0.0436616986989975,1.0,0.0,1.0,1.0,6.211366429333263,0.6863094805793504,5.521659423000074,6.894227161999879,17.783950809666294,0.1118838197122025,17.703067412001246,17.911635824002133,43.5261865313333,0.1875762550690341,43.35928400900002,43.729189088999874
dense_0p64m,643840,50,102400,1536000,409600,0.512,5933629440000,3,"42,123,2026",1.7512062708536782,0.00433515793341414,1.7466752767562865,1.7553146362304688,0.0010333333333333334,0.00037859388972001824,0.0006,0.0013,1.611621379852295,0.012441612760656608,1.6033449172973633,1.6259291172027588,0.3958333333333333,0.007228308114584019,0.3875732421875,0.4010009765625,7.134492358333243,0.8510370496272756,6.572503138999764,8.113620298999876,2.452553645667649,0.034826228949944776,2.417592146000061,2.4872430090022135,20.046867392000042,0.9263335457602091,19.23852456900022,21.057693770000014
dense_0p64m,643840,75,153600,2304000,614400,0.768,8900444160000,3,"42,123,2026",1.6457629442214967,0.019498256486447565,1.6283380508422851,1.6668229341506957,0.005383333333333334,0.0029984718330064958,0.003,0.00875,1.480560541152954,0.017708150778480283,1.4673175811767578,1.5006744861602783,0.4596761067708333,0.017240171931457545,0.4481201171875,0.4794921875,7.35492025966668,1.0439432588580084,6.533404736000193,8.529649036000023,3.629865173333542,0.10178398872387173,3.5212961899993616,3.7231312280000566,21.844276716666702,0.9165766938697778,20.880609193000055,22.705084769999985
