run_id,model,parameter_count,seed,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,estimated_training_flops,validation_loss,greedy_exact_match,final_train_loss,final_answer_token_accuracy,compilation_seconds,steady_state_training_seconds,total_training_seconds,backend,jax_version,git_commit
dense_0p16m_s0050_seed42,dense_0p16m,162176,42,50,102400,1536000,409600,0.512,1494614016000,1.9122615098953246,0.00045,1.8343243598937988,0.3643798828125,5.31793049099997,1.2423725370001648,16.536315981000143,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0050_seed123,dense_0p16m,162176,123,50,102400,1536000,409600,0.512,1494614016000,1.9136595964431762,0.00075,1.8287620544433594,0.364990234375,5.558712382999829,1.260301645000709,17.340700274000028,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0050_seed2026,dense_0p16m,162176,2026,50,102400,1536000,409600,0.512,1494614016000,1.889196252822876,0.00075,1.8114590644836426,0.3792724609375,5.393961030000128,1.4166444790000696,17.09735015199999,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0075_seed42,dense_0p16m,162176,42,75,153600,2304000,614400,0.768,2241921024000,1.8189860582351685,0.00075,1.7027974128723145,0.386474609375,6.974048304000007,1.844904030999487,18.5497541929999,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0075_seed123,dense_0p16m,162176,123,75,153600,2304000,614400,0.768,2241921024000,1.8077594995498658,0.0005,1.672381043434143,0.3968505859375,6.619732865999822,1.8585838969997894,18.697408662000043,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0075_seed2026,dense_0p16m,162176,2026,75,153600,2304000,614400,0.768,2241921024000,1.8027226209640503,0.0014,1.6658676862716675,0.4034423828125,5.662120523000112,1.815862437000078,17.948305810999955,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0100_seed42,dense_0p16m,162176,42,100,204800,3072000,819200,1.024,2989228032000,1.7690016031265259,0.00135,1.620684027671814,0.40771484375,5.522321138000052,2.7604067799995846,18.66022120799994,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0100_seed123,dense_0p16m,162176,123,100,204800,3072000,819200,1.024,2989228032000,1.7632671117782592,0.0012,1.5940983295440674,0.418701171875,6.535035710000102,2.4321788799982187,19.274823653000112,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0100_seed2026,dense_0p16m,162176,2026,100,204800,3072000,819200,1.024,2989228032000,1.7549455881118774,0.0015,1.590635895729065,0.4161376953125,6.727465496999912,2.398787625999603,19.417746164999926,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
dense_0p16m_s0125_seed42,dense_0p16m,162176,42,125,256000,3840000,1024000,1.28,3736535040000,1.7448182582855225,0.00125,1.5832080841064453,0.4188232421875,5.3046857340000315,3.1188067300001876,19.516739012000016,gpu,0.7.2,9e43cd768fe63ea9b4e9b518acc44e340ba44123
