run_id,parameter_count,steps,examples_seen,sequence_tokens_seen,answer_tokens_seen,repetition_ratio,validation_loss,greedy_exact_match,final_train_loss,final_answer_token_accuracy,compilation_seconds,steady_state_training_seconds,total_training_seconds,estimated_training_flops,backend,seed,git_commit
dense_0p16m_s0050,162176,50,102400,1536000,409600,0.512,1.9119319915771484,0.00045,1.8340495824813843,0.3642578125,6.468089532999954,1.2572831419998352,12.957143638000048,1494614016000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_0p16m_s0125,162176,125,256000,3840000,1024000,1.28,1.7442914724349976,0.00125,1.582580804824829,0.4171142578125,6.677898084999924,2.926805999999715,20.859127438999963,3736535040000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_0p16m_s0250,162176,250,512000,7680000,2048000,2.56,0.9294089555740357,0.2169,0.8456291556358337,0.7264404296875,7.035264459000018,5.764532461999465,26.182300070999986,7473070080000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_0p16m_s0750,162176,750,1536000,23040000,6144000,7.68,0.011778653785586356,1.0,0.010620692744851112,1.0,7.0608610809999846,17.768720342998336,44.709319956999934,22419210240000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_0p96m_s0050,963840,50,102400,1536000,409600,0.512,1.75096914768219,0.0017,1.6047253608703613,0.4049072265625,7.516981318000035,3.718773696000085,24.147191940000084,8882749440000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_0p96m_s0125,963840,125,256000,3840000,1024000,1.28,0.6098694443702698,0.4924,0.5580607652664185,0.8623046875,7.955008332000034,9.01124792300061,32.111601307,22206873600000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_0p96m_s0250,963840,250,512000,7680000,2048000,2.56,0.02840898185968399,1.0,0.026333274319767952,1.0,7.9313143519999585,19.221081396998898,43.14112387099999,44413747200000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_0p96m_s0750,963840,750,1536000,23040000,6144000,7.68,0.0006792146479710937,1.0,0.0006345100700855255,1.0,8.08888875599996,54.86673225300274,86.18568906299993,133241241600000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_5p12m_s0050,5123584,50,102400,1536000,409600,0.512,1.7130091428756713,0.00115,1.545134425163269,0.413330078125,10.64460502199995,14.291883322999638,45.80504501500002,47218950144000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_5p12m_s0125,5123584,125,256000,3840000,1024000,1.28,0.04960600435733795,0.99825,0.045243632048368454,0.999755859375,10.15082216999997,38.15840801399929,68.12975686499999,118047375360000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_5p12m_s0250,5123584,250,512000,7680000,2048000,2.56,0.00207388480193913,1.0,0.0019749675411731005,1.0,11.239004947000012,71.21110602600038,102.66078513800005,236094750720000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_5p12m_s0750,5123584,750,1536000,23040000,6144000,7.68,0.0002226091019110754,1.0,0.0002042237902060151,1.0,11.15787796099994,208.29370659199822,248.685030911,708284252160000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_10m_s0050,10000000,50,102400,1536000,409600,0.512,1.716869044303894,0.0011,1.54738450050354,0.4034423828125,14.423549486000184,29.165787503000274,67.34683754799994,92160000000000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_10m_s0125,10000000,125,256000,3840000,1024000,1.28,0.028884344920516013,0.9994,0.027348242700099945,1.0,13.998375161000013,72.51650148400086,112.32127246699997,230400000000000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_10m_s0250,10000000,250,512000,7680000,2048000,2.56,0.0017955000512301922,1.0,0.0016678492538630962,1.0,13.346483087000024,136.50575780299982,175.8904158590001,460800000000000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
dense_10m_s0750,10000000,750,1536000,23040000,6144000,7.68,0.0001910933817271143,1.0,0.00017456893692724407,1.0,13.807424273000152,402.6129858360007,450.979141862,1382400000000000,gpu,42,8c2c2dad75be876cc42dfc8c2c5492142a86210c
