pair_id,a,b,target,prediction,internal_digits,valid_digits,split,carry_pattern
677688,677,688,1365,3365,5633,True,train,111
678678,678,678,1356,3356,6533,True,test,111
678688,678,688,1366,3366,6633,True,test,111
687678,687,678,1365,3365,5633,True,test,111
687688,687,688,1375,3375,5733,True,test,111
688678,688,678,1366,3366,6633,True,test,111
688688,688,688,1376,3376,6733,True,test,111
790999,790,999,1789,789,9870,True,test,011
791998,791,998,1789,789,9870,True,test,011
797999,797,999,1796,796,6970,True,test,111
798999,798,999,1797,797,7970,True,test,111
799998,799,998,1797,797,7970,True,test,111
799999,799,999,1798,798,8970,True,test,111
990799,990,799,1789,789,9870,True,test,011
991798,991,798,1789,789,9870,True,test,011
997799,997,799,1796,796,6970,True,train,111
998799,998,799,1797,797,7970,True,train,111
999798,999,798,1797,797,7970,True,test,111
999799,999,799,1798,798,8970,True,test,111
